Feature_ID,Correlacao,Status
856,-0.0706,Podado
857,-0.0126,Podado
858,-0.0126,Podado
859,-0.0126,Podado
860,-0.0126,Podado
861,-0.0975,Podado
862,-0.0179,Podado
863,-0.0179,Podado
864,-0.0126,Podado
865,-0.0179,Podado
866,-0.0219,Podado
867,-0.0126,Podado
868,-0.0126,Podado
869,-0.0126,Podado
870,-0.0126,Podado
871,-0.0126,Podado
872,-0.0126,Podado
873,-0.0179,Podado
874,-0.0126,Podado
875,-0.0253,Podado
876,-0.0419,Podado
877,-0.0126,Podado
878,-0.0566,Podado
879,-0.0126,Podado
880,-0.0126,Podado
881,-0.0283,Podado
882,-0.0126,Podado
883,-0.0566,Podado
884,-0.0126,Podado
885,-0.0219,Podado
886,-0.0310,Podado
887,-0.0179,Podado
888,-0.0179,Podado
889,-0.0126,Podado
890,-0.0126,Podado
891,-0.0126,Podado
892,-0.0126,Podado
893,-0.0179,Podado
894,-0.0126,Podado
895,-0.0219,Podado
896,-0.0126,Podado
897,-0.0126,Podado
898,-0.0219,Podado
899,-0.0379,Podado
900,-0.0126,Podado
901,-0.0126,Podado
902,-0.0219,Podado
903,-0.0253,Podado
904,-0.0283,Podado
905,-0.0379,Podado
906,-0.0126,Podado
907,-0.0179,Podado
908,-0.0126,Podado
909,-0.0126,Podado
910,-0.0253,Podado
911,-0.0438,Podado
912,-0.0126,Podado
913,-0.0126,Podado
914,-0.0126,Podado
915,-0.0569,Podado
916,-0.0219,Podado
917,-0.0126,Podado
918,-0.0126,Podado
919,-0.0126,Podado
920,-0.0126,Podado
921,-0.0179,Podado
922,-0.0042,Podado
923,-0.0379,Podado
924,-0.0179,Podado
925,-0.0126,Podado
926,-0.0219,Podado
927,-0.0126,Podado
928,-0.0219,Podado
929,-0.0179,Podado
930,-0.0179,Podado
931,-0.0126,Podado
932,-0.0460,Podado
933,-0.0126,Podado
934,-0.0607,Podado
935,-0.0126,Podado
936,-0.0126,Podado
937,-0.0295,Podado
938,-0.0126,Podado
939,-0.1885,Podado
940,-0.0179,Podado
941,-0.0253,Podado
942,-0.1500,Podado
943,-0.0633,Podado
944,-0.0126,Podado
945,-0.0419,Podado
946,-0.0126,Podado
947,-0.0551,Podado
948,-0.0334,Podado
949,-0.0126,Podado
950,0.0170,Podado
951,-0.0126,Podado
952,-0.0253,Podado
953,-0.0126,Podado
954,-0.0126,Podado
955,-0.0126,Podado
956,-0.0126,Podado
957,-0.0126,Podado
958,-0.0219,Podado
959,-0.0126,Podado
960,-0.0126,Podado
961,-0.0126,Podado
962,-0.0490,Podado
963,-0.0126,Podado
964,-0.0682,Podado
965,-0.0283,Podado
966,-0.0357,Podado
967,-0.0219,Podado
968,-0.0379,Podado
969,-0.0179,Podado
970,-0.0453,Podado
971,-0.0253,Podado
972,-0.0126,Podado
973,-0.0357,Podado
974,-0.0179,Podado
975,-0.0400,Podado
976,-0.0126,Podado
977,-0.0253,Podado
978,-0.0253,Podado
979,-0.0357,Podado
980,-0.0253,Podado
981,-0.0473,Podado
982,-0.0379,Podado
983,-0.0219,Podado
984,-0.0334,Podado
985,-0.0126,Podado
986,-0.0126,Podado
987,-0.0126,Podado
988,-0.0126,Podado
989,-0.0126,Podado
990,-0.0310,Podado
991,-0.0357,Podado
992,-0.0253,Podado
993,-0.0126,Podado
994,-0.0126,Podado
995,-0.0126,Podado
996,-0.0126,Podado
997,-0.0179,Podado
998,-0.0906,Podado
999,-0.0126,Podado
1000,-0.0126,Podado
1001,-0.0179,Podado
1002,-0.0126,Podado
1003,-0.0693,Podado
1004,-0.0126,Podado
1005,-0.0126,Podado
1006,-0.0126,Podado
1007,-0.0179,Podado
1008,-0.0179,Podado
1009,-0.0283,Podado
1010,-0.0126,Podado
1011,-0.0219,Podado
1012,-0.0551,Podado
1013,-0.0126,Podado
1014,-0.0126,Podado
1015,-0.0126,Podado
1016,-0.0126,Podado
1017,-0.0126,Podado
1018,-0.0126,Podado
1019,-0.0126,Podado
1020,-0.0126,Podado
1021,-0.0126,Podado
1022,-0.0126,Podado
1023,-0.0126,Podado
1024,-0.0126,Podado
1025,-0.0179,Podado
1026,-0.0126,Podado
1027,-0.0126,Podado
1028,-0.0126,Podado
1029,-0.2753,Podado
1030,-0.0126,Podado
1031,-0.0334,Podado
1032,-0.0334,Podado
1033,-0.0126,Podado
1034,-0.0811,Podado
1035,-0.0219,Podado
1036,-0.0179,Podado
1037,-0.0126,Podado
1038,-0.0860,Podado
1039,-0.0219,Podado
1040,-0.0126,Podado
1041,-0.0126,Podado
1042,-0.0126,Podado
1043,-0.0537,Podado
1044,-0.0400,Podado
1045,-0.2584,Podado
1046,-0.0219,Podado
1047,-0.2439,Podado
1048,-0.1144,Podado
1049,-0.0334,Podado
1050,-0.0179,Podado
1051,-0.0126,Podado
1052,-0.0379,Podado
1053,-0.0334,Podado
1054,-0.0126,Podado
1055,-0.0283,Podado
1056,-0.0126,Podado
1057,-0.0126,Podado
1058,-0.0815,Podado
1059,-0.0283,Podado
1060,-0.0126,Podado
1061,-0.0126,Podado
1062,-0.0126,Podado
1063,-0.0219,Podado
1064,-0.0126,Podado
1065,-0.0126,Podado
1066,-0.0310,Podado
1067,-0.0179,Podado
1068,-0.0126,Podado
1069,-0.0179,Podado
1070,-0.0126,Podado
1071,-0.0126,Podado
1072,-0.0419,Podado
1073,-0.0126,Podado
1074,-0.0179,Podado
1075,-0.0126,Podado
1076,-0.0126,Podado
1077,-0.0126,Podado
1078,-0.0283,Podado
1079,-0.0310,Podado
1080,-0.0126,Podado
1081,-0.0126,Podado
1082,-0.0400,Podado
1083,-0.0126,Podado
1084,-0.0126,Podado
1085,-0.0126,Podado
1086,-0.0219,Podado
1087,-0.0126,Podado
1088,-0.0400,Podado
1089,-0.0219,Podado
1090,-0.0126,Podado
1091,-0.0253,Podado
1092,-0.0400,Podado
1093,-0.0126,Podado
1094,-0.0126,Podado
1095,-0.0126,Podado
1096,-0.0126,Podado
1097,-0.0283,Podado
1098,-0.0473,Podado
1099,-0.0126,Podado
1100,-0.0253,Podado
1101,-0.0126,Podado
1102,-0.0126,Podado
1103,-0.0357,Podado
1104,-0.0126,Podado
1105,-0.0932,Podado
1106,-0.0126,Podado
1107,-0.0126,Podado
1108,-0.1193,Podado
1109,-0.0126,Podado
1110,-0.0126,Podado
